"10","217","167"
"20","750","364"
"30","2092","659"
"40","3629","1149"
"50","4807","1381"
"60","8584","2076"
"70","11043","2465"
"80","15186","3035"
"90","19968","3555"
"100","23082","4050"
"110","27717","4836"
"120","34682","5945"
"130","39615","6925"
"140","46983","8177"
"150","53355","9544"
"160","65663","12108"
"170","70389","13372"
"180","78877","16006"
"190","85404","17588"
"200","93315","21149"
"210","106306","24648"
"220","120220","24943"
"230","129544","32286"
"240","140421","36067"
"250","153580","39544"
"260","169523","46872"
"270","178308","49276"
"280","188133","52712"
"290","204336","61155"
"300","215739","63735"
