"10","185","167"
"20","372","364"
"30","682","667"
"40","1223","1158"
"50","1442","1372"
"60","2157","1988"
"70","2629","2377"
"80","3196","2825"
"90","4033","3422"
"100","4400","3835"
"110","5023","4602"
"120","5581","5084"
"130","6295","5788"
"140","7146","6503"
"150","8520","7290"
"160","9286","8372"
"170","9495","8592"
"180","11176","9736"
"190","11605","10372"
"200","11784","10925"
"210","13195","12162"
"220","14142","12608"
"230","15117","13323"
"240","16795","14687"
"250","16998","14961"
"260","18802","16484"
"270","20183","17274"
"280","20352","18396"
"290","21657","19175"
"300","22352","19958"
