"size","rand","krand(k=100)","2opt","nn","ms = 50, miter = 100"
"10","167","167","167","167"
"20","364","364","364","364"
"30","659","659","663","667"
"40","1205","1149","1177","1158"
"50","1375","1381","1381","1372"
"60","2115","2076","1975","1988"
"70","2445","2465","2411","2377"
"80","3073","3035","2885","2825"
"90","3600","3555","3576","3422"
"100","4079","4050","4117","3835"
"110","4974","4836","4758","4602"
"120","5788","5945","5318","5084"
"130","6835","6925","5931","5788"
"140","8447","8177","6785","6503"
"150","10388","9544","7202","7290"
"160","13003","12108","8360","8372"
"170","13999","13372","8604","8592"
"180","16458","16006","10063","9736"
"190","18984","17588","10504","10372"
"200","20999","21149","11042","10925"
"210","24929","24648","12372","12162"
"220","28518","24943","12564","12608"
"230","31777","32286","13681","13323"
"240","35779","36067","14938","14687"
"250","40802","39544","15858","14961"
"260","47302","46872","17121","16484"
"270","48814","49276","17854","17274"
"280","57855","52712","18391","18396"
"290","61626","61155","19738","19175"
"300","70895","63735","20813","19958"
