"10","155","146"
"20","344","344"
"30","745","701"
"40","976","972"
"50","1709","1547"
"60","1915","1887"
"70","2427","2286"
"80","2729","2643"
"90","3691","3674"
"100","4129","3937"
"110","5495","5257"
"120","5694","5442"
"130","6925","6388"
"140","6648","6567"
"150","8139","7492"
"160","9320","8487"
"170","9637","8833"
"180","10618","10075"
"190","11620","10970"
"200","12860","11801"
"210","13510","12912"
"220","14212","13624"
"230","15622","14473"
"240","17007","15501"
"250","17244","16197"
"260","17735","16542"
"270","19907","18462"
"280","20017","19158"
"290","21733","19710"
"300","22989","21135"
