"10","155","146"
"20","344","344"
"30","745","647"
"40","976","955"
"50","1709","1490"
"60","1915","1801"
"70","2427","2241"
"80","2729","2541"
"90","3691","3442"
"100","4129","3778"
"110","5495","4611"
"120","5694","5362"
"130","6925","6145"
"140","6648","6196"
"150","8139","7257"
"160","9320","8003"
"170","9637","8558"
"180","10618","9258"
"190","11620","10662"
"200","12860","11167"
"210","13510","12080"
"220","14212","12439"
"230","15622","13490"
"240","17007","14604"
"250","17244","15498"
"260","17735","16112"
"270","19907","17496"
"280","20017","18362"
"290","21733","18947"
"300","22989","20110"
