"size","invert","swap","insert","ms = 50, miter = 100"
"10","146","146","146"
"20","373","373","373"
"30","698","718","698"
"40","1070","1105","1090"
"50","1405","1469","1452"
"60","1825","1870","1859"
"70","2354","2528","2515"
"80","2852","2948","2938"
"90","3430","3574","3575"
"100","4052","4313","4263"
"110","4610","5134","4924"
"120","5223","6127","5789"
"130","5686","6345","6122"
"140","6686","7159","7014"
"150","7366","8203","7807"
"160","8041","9044","8714"
"170","8730","9141","9105"
"180","9757","10575","10126"
"190","10379","10991","10697"
"200","11523","12512","11889"
"210","12132","13177","12570"
"220","13470","14279","13322"
"230","13846","15080","14740"
"240","14675","15980","15063"
"250","14770","16355","15671"
"260","16257","18288","17666"
"270","17282","18984","18422"
"280","18209","20087","19512"
"290","19590","22291","20947"
"300","20313","22342","21587"
