"10","155","148"
"20","344","344"
"30","745","717"
"40","976","955"
"50","1709","1578"
"60","1915","1897"
"70","2427","2382"
"80","2729","2627"
"90","3691","3675"
"100","4129","3987"
"110","5495","5317"
"120","5694","5503"
"130","6925","6837"
"140","6648","6530"
"150","8139","7789"
"160","9320","8756"
"170","9637","9263"
"180","10618","10315"
"190","11620","11196"
"200","12860","12271"
"210","13510","13216"
"220","14212","13966"
"230","15622","15125"
"240","17007","16281"
"250","17244","16910"
"260","17735","17083"
"270","19907","19085"
"280","20017","19540"
"290","21733","20753"
"300","22989","22249"
