"10","177","167"
"20","364","364"
"30","716","663"
"40","1191","1177"
"50","1398","1381"
"60","1989","1975"
"70","2421","2411"
"80","2895","2885"
"90","3690","3576"
"100","4275","4117"
"110","4862","4758"
"120","5554","5318"
"130","5953","5931"
"140","7062","6785"
"150","7376","7202"
"160","8614","8360"
"170","8666","8604"
"180","10256","10063"
"190","10771","10504"
"200","11185","11042"
"210","12503","12372"
"220","12620","12564"
"230","13894","13681"
"240","15048","14938"
"250","15899","15858"
"260","17154","17121"
"270","17966","17854"
"280","18632","18391"
"290","19855","19738"
"300","20848","20813"
